Anonymisation;4. SexeVerifieParLeDiplome;14. AnneeDiplomeVerifieParLeDiplome;15. ActiviteActuelle;27. EmploiLieuRegionEtranger;28. EmploiLieuPaysTerritoire;30. Option_EmploiMoisOccupation;32. EmploiContrat;34. EmploiContratAutre;35. EmploiCadre;36. EmploiTempsPleinPartiel;39. EmploiEntreprise;45. EmploiEntrepriseTaille;48. EmploiEntrepriseSecteurActivite;49. EmploiEntrepriseSecteurAutre;51. EmploiEntrepriseService;52. EmploiEntrepriseServiceDepartementAutre;53. EmploiEntreprisePoste;54. EmploiResponsabilitesHierarchiques;55. EmploiResponsabiliteBudget;56. EmploiResponsabiliteEquipe;57. EmploiResponsabiliteProjet;61. Option_EmploiInternational;62. Option_EmploiInternationalPrecision;63. EmploiSalaireBrutAnnuelHorsPrimes;64. EmploiPrimesBrutOuiNon;65. EmploiPrimesBrutOuiMontant;66. EmploiAvantagesNatureOuiNon;67. EmploiAvantagesNatureOuiMontant;69. EmploiCommentTrouve;72. EmploiCommentTrouveAutre;73. Option_EmploiMoyensRechercheEmploi;76. EmploiCritereChoix;78. EmploiAdequationNiveauQualification;79. EmploiAdequationSecteurDisciplinaire;80. EmploiSatisfaction;81. EmploiSatisfactionConditions;82. EmploiSatisfactionCollegues;83. EmploiSatisfactionRemuneration;84. EmploiSatisfactionAutonomie;85. EmploiSatisfactionLocalisation;86. EmploiChercheAutreEmploi;88. VolontariatType;89. VolontariatTypeAutre;113. TheseType;114. TheseTypeAutre;125. TheseSalaireBrutAnnuelHorsPrimes;126. ThesePrimesBrutOuiNon;127. ThesePrimesBrutOuiMontant;128. TheseAvantagesNatureOuiNon;129. TheseAvantagesNatureOuiMontant;130. TheseSalaireBrutAnnuelAvecPrimes;131. 1erEmploiDecritPrecedemment;134. 1erEmploiLapsPourTrouverApresDiplomeMois;135. Option_EcoleSatisfactionFormation;136. Option_EcoleAccompagnementProjetPro;151. Option_ScolariteCesure;152. Option_ScolariteMoisStage;153. Option_ScolariteMoisStageObligatoire;166. Tableaux_Compteur;167. Tableaux_Sexe;168. Tableaux_Promo;170. Effectifs_Promo;171. Effectifs_PromoSexe;175. Tableaux_BooleenFemmes;177. LieuTravail_FranceEtranger;178. Tableaux_BooleenCDI;190. Tableaux_Booleen1erEmploiMoinsDeuxMois;243. PROGRESSION;249. AnneeEnquete;264. Option_ScolariteFiliereFormation;265. Option_ScolariteSpecialisation
17300;Femme;2017;En activité professionnelle;Étranger;Brésil;;Contrat local;;Travail à l'étranger (Non concerné);À temps plein;Braskem SA;De 250 à 4 999 salarié(e)s;Industrie chimique;;Méthodes, contrôle de production, maintenance;;Analyst;Non;Non;Non;Non;Oui;Vous traitez des projets avec un pays étranger;66000;Oui;14700;Oui;2000;Autre;Stage de fin d'études au Brésil;"Réseaux sociaux professionnels (LinkedIn, ...);Site Internet spécialisé dans l'emploi (APEC, ....);Sites Internet d'entreprises;Relations personnelles";"L'adéquation avec un projet professionnel;La notoriété de l'entreprise;Les perspectives d'évolution au sein de l'entreprise";Oui;Non;Très satisfait(e);Très satisfait;Satisfait;Très satisfait;Satisfait;Satisfait;Non;;;;;;;;;;;Oui;0;Satisfait(e);Peu utile;Oui;10;9;1;Femme;2017;118;69;100;Étranger;;100;Terminé;2020;DGE;Chimie-Matériaux-Environnement
17300;Femme;2017;En activité professionnelle;Étranger;Brésil;;Contrat local;;Travail à l'étranger (Non concerné);À temps plein;Braskem;De 250 à 4 999 salarié(e)s;Fabrication de produits en caoutchouc et en plastique ainsi que d'autres produits minéraux non métalliques;;Administration, gestion, finance, comptabilité;;Analyst;Non;Non;Non;Non;Oui;Vous traitez des projets avec un pays étranger;60000;Oui;10000;Non;;Stage de fin d'études;;"Réseaux sociaux professionnels (LinkedIn, ...);Candidature spontanée";"La notoriété de l'entreprise;Les perspectives d'évolution au sein de l'entreprise;La politique globale de relations humaines dans l'entreprise;Le montant du salaire proposé";Oui;Oui;Très satisfait(e);Très satisfait;Satisfait;Très satisfait;Très satisfait;Très satisfait;Non;;;;;;;;;;;Oui;0;Ni satisfait(e) ni insatisfait(e);;Oui;;;1;Femme;2017;118;69;100;Étranger;;100;Terminé;2021;DGE;Chimie-Matériaux-Environnement
17064;Homme;2017;En recherche d'emploi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Satisfait(e);Assez utile;Oui;11;11;1;Homme;2017;118;49;0;;;;Terminé;2018;CBS;Chimie-Santé
17064;Homme;2017;Sans activité volontairement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Satisfait(e);Peu utile;Oui;3;;1;Homme;2017;118;49;0;;;;Terminé;2021;CBS;Chimie-Santé
17009;Femme;2017;En activité professionnelle;Occitanie;France (y compris DOM-COM);3;CDD (Contrat de travail à durée déterminée);;Oui;À temps plein;PROTEUS;De 20 à 49 salarié(e)s;Industrie chimique;;Recherche-développement, études scientifiques et techniques (autre qu'informatique);;Chef de projet junior;Oui;Non;Non;Oui;Non;;31800;Non;;Non;;Stage de fin d'études;;Stage de fin d'études;L'adéquation avec un projet professionnel;Oui;Oui;Satisfait(e);Ni satisfait ni insatisfait;Insatisfait;Insatisfait;Satisfait;Très satisfait;Oui;;;;;;;;;;;Oui;0;Satisfait(e);Très utile;Non;12;12;1;Femme;2017;118;69;100;France;0;100;Terminé;2018;CBD2;Chimie-Matériaux-Environnement
17009;Femme;2017;En activité professionnelle;Occitanie;France (y compris DOM-COM);;CDI (Contrat de travail à durée indéterminée), y compris CDIC;;Oui;À temps plein;Protéus by SEQENS;De 20 à 49 salarié(e)s;Recherche-développement scientifique;;Recherche-développement, études scientifiques et techniques (autre qu'informatique);;Chef de projet;Non;Oui;Oui;Oui;Oui;Vous traitez des projets avec un pays étranger;35000;Oui;1320;Non;;Stage de fin d'études;;Stage de fin d'études;L'adéquation avec un projet professionnel;Oui;Oui;Satisfait(e);Satisfait;Très satisfait;Satisfait;Satisfait;Très satisfait;Non;;;;;;;;;;;Oui;0;Satisfait(e);Peu utile;Non;12;10;1;Femme;2017;118;69;100;France;100;100;Terminé;2019;CBD2;Chimie-Matériaux-Environnement
17009;Femme;2017;En activité professionnelle;Occitanie;France (y compris DOM-COM);;CDI (Contrat de travail à durée indéterminée);;Oui;À temps plein;Proteus by SEQENS;De 10 à 19 salarié(e)s;Recherche-développement scientifique;;Recherche-développement, études scientifiques et techniques (autre qu'informatique);;Chef de de projet biocatalyse;Non;Non;Non;Oui;Oui;Vous traitez des projets avec un pays étranger;26800;Non;;Oui;3000;Stage année césure, année professionnalisante;;Stage année césure, année professionnalisante;"L'adéquation avec un projet professionnel;Le lieu géographique;Le contenu de la mission / du poste proposé;Le secteur d'activité de l'entreprise";Oui;Oui;Satisfait(e);Satisfait;Très satisfait;Satisfait;Satisfait;Très satisfait;Non;;;;;;;;;;;Oui;0;Satisfait(e);Peu utile;Non;12;11;1;Femme;2017;118;69;100;France;100;100;Terminé;2021;CBD2;Chimie-Matériaux-Environnement
17009;Femme;2017;En activité professionnelle;Occitanie;France (y compris DOM-COM);53;CDI - y compris de la fonction publique;;Oui;À temps plein;Protéus by SEQENS;De 10 à 19 salarié(e)s;Industrie chimique;;Recherche-développement, études scientifiques et techniques (autre qu'informatique);;Chef de projet biocatalyse;Oui;Non;Non;Oui;Non;;39200;Oui;1000;Oui;2100;Stage de fin d'études;;Stage de fin d'études;"Le lieu géographique;Le contenu de la mission / du poste proposé;Le secteur d'activité de l'entreprise";Oui;Non;Satisfait(e);Satisfait;Très satisfait;Ni satisfait ni insatisfait;Satisfait;Très satisfait;Non;;;;;;;;;;;Oui;0;Satisfait(e);Utile;Non;12;10;1;Femme;2017;118;69;100;France;100;100;Terminé;2022;CBD2;Chimie-Matériaux-Environnement
17040;Femme;2017;En activité professionnelle;Occitanie;France (y compris DOM-COM);10;CDI (Contrat de travail à durée indéterminée), y compris CDIC;;Non;À temps plein;Primum Non Nocere;De 20 à 49 salarié(e)s;Sociétés de conseil, Bureaux d'études, Ingénierie;;Développement durable, RSE (Responsabilité Sociétale des Entreprises);;Conseiller développement durable;Non;Oui;Oui;Oui;Non;;31000;Oui;2500;Oui;3000;Stage de fin d'études;;"Réseau des anciens élèves;Stage de fin d'études";L'adéquation avec un projet professionnel;Oui;Non;Très satisfait(e);Très satisfait;Très satisfait;Satisfait;Très satisfait;Insatisfait;Non;;;;;;;;;;;Oui;0;Satisfait(e);Assez utile;Non;13;13;1;Femme;2017;118;69;100;France;100;100;Terminé;2018;DGE;Chimie-Matériaux-Environnement
17040;Femme;2017;En activité professionnelle;Occitanie;France (y compris DOM-COM);;CDI (Contrat de travail à durée indéterminée), y compris CDIC;;Non;À temps plein;PRIMUM NON NOCERE;De 20 à 49 salarié(e)s;Sociétés de conseil, Bureaux d'études, Ingénierie;;Développement durable, RSE (Responsabilité Sociétale des Entreprises);;CONSULTANT;Non;Non;Non;Oui;Non;;2587;Oui;2000;Oui;1000;Stage de fin d'études;;"Réseau des anciens élèves;Stage de fin d'études";Le contenu de la mission / du poste proposé;Oui;Non;Satisfait(e);Très satisfait;Très satisfait;Satisfait;Très satisfait;Ni satisfait ni insatisfait;Non;;;;;;;;;;;Oui;0;Satisfait(e);Assez utile;Non;13;;1;Femme;2017;118;69;100;France;100;100;Terminé;2019;DGE;Chimie-Matériaux-Environnement
