"Anonymisation","4. SexeVerifieParLeDiplome","14. AnneeDiplomeVerifieParLeDiplome","15. ActiviteActuelle","27. EmploiLieuRegionEtranger","28. EmploiLieuPaysTerritoire","30. Option_EmploiMoisOccupation","32. EmploiContrat","35. EmploiCadre","36. EmploiTempsPleinPartiel","39. EmploiEntreprise","45. EmploiEntrepriseTaille","48. EmploiEntrepriseSecteurActivite","51. EmploiEntrepriseService","53. EmploiEntreprisePoste","54. EmploiResponsabilitesHierarchiques","55. EmploiResponsabiliteBudget","56. EmploiResponsabiliteEquipe","57. EmploiResponsabiliteProjet","61. Option_EmploiInternational","62. Option_EmploiInternationalPrecision","63. EmploiSalaireBrutAnnuelHorsPrimes","64. EmploiPrimesBrutOuiNon","65. EmploiPrimesBrutOuiMontant","66. EmploiAvantagesNatureOuiNon","67. EmploiAvantagesNatureOuiMontant","69. EmploiCommentTrouve","73. Option_EmploiMoyensRechercheEmploi","76. EmploiCritereChoix","78. EmploiAdequationNiveauQualification","79. EmploiAdequationSecteurDisciplinaire","80. EmploiSatisfaction","81. EmploiSatisfactionConditions","82. EmploiSatisfactionCollegues","83. EmploiSatisfactionRemuneration","84. EmploiSatisfactionAutonomie","85. EmploiSatisfactionLocalisation","86. EmploiChercheAutreEmploi","88. VolontariatType","89. VolontariatTypeAutre","113. TheseType","125. TheseSalaireBrutAnnuelHorsPrimes","126. ThesePrimesBrutOuiNon","127. ThesePrimesBrutOuiMontant","128. TheseAvantagesNatureOuiNon","129. TheseAvantagesNatureOuiMontant","130. TheseSalaireBrutAnnuelAvecPrimes","131. 1erEmploiDecritPrecedemment","134. 1erEmploiLapsPourTrouverApresDiplomeMois","135. Option_EcoleSatisfactionFormation","136. Option_EcoleAccompagnementProjetPro","151. Option_ScolariteCesure","152. Option_ScolariteMoisStage","153. Option_ScolariteMoisStageObligatoire","166. Tableaux_Compteur","167. Tableaux_Sexe","168. Tableaux_Promo","170. Effectifs_Promo","171. Effectifs_PromoSexe","175. Tableaux_BooleenFemmes","177. LieuTravail_FranceEtranger","178. Tableaux_BooleenCDI","190. Tableaux_Booleen1erEmploiMoinsDeuxMois","243. PROGRESSION","249. AnneeEnquete","264. Option_ScolariteFiliereFormation","265. Option_ScolariteSpecialisation","Domaine d'activite a un an","Domaine d'activite a 2 ans"
"17300","Femme",2017,"En activité professionnelle","Étranger","Brésil",NA,"Autre","Travail à l'étranger (Non concerné)","À temps plein","Braskem SA","De 250 à 4 999 salarié(e)s","Industrie chimique","Méthodes, contrôle de production, maintenance","Analyst","Non","Non","Non","Non","Oui","Vous traitez des projets avec un pays étranger",66000,"Oui","14700","Oui","2000","Autre","Site Internet spécialisé dans l'emploi;Site Internet spécialisé dans l'emploi;Sites Internet d'entreprises;Autre","L'adéquation avec un projet professionnel;La notoriété de l'entreprise;Les perspectives d'évolution au sein de l'entreprise","Oui","Non","Très satisfait(e)","Très satisfait","Satisfait","Très satisfait","Satisfait","Satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","0","Satisfait(e)","Peu utile","Oui","10","9","1","Femme","2017","118","69","100","Étranger",NA,"100","Terminé",2020,"DGE","Chimie-Matériaux-Environnement",NA,NA
"17300","Femme",2017,"En activité professionnelle","Étranger","Brésil",NA,"Autre","Travail à l'étranger (Non concerné)","À temps plein","Braskem","De 250 à 4 999 salarié(e)s","Fabrication de produits en caoutchouc et en plastique ainsi que d'autres produits minéraux non métalliques","Administration, gestion, finance, comptabilité","Analyst","Non","Non","Non","Non","Oui","Vous traitez des projets avec un pays étranger",60000,"Oui","10000","Non",NA,"Stage de fin d'études (Année césure, année professionnalisante,...)","Site Internet spécialisé dans l'emploi;Candidature spontanée","La notoriété de l'entreprise;Les perspectives d'évolution au sein de l'entreprise;La politique globale de relations humaines dans l'entreprise;Le montant du salaire proposé","Oui","Oui","Très satisfait(e)","Très satisfait","Satisfait","Très satisfait","Très satisfait","Très satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","0","Ni satisfait(e) ni insatisfait(e)",NA,"Oui",NA,NA,"1","Femme","2017","118","69","100","Étranger",NA,"100","Terminé",2021,"DGE","Chimie-Matériaux-Environnement",NA,NA
"17064","Homme",2017,"En recherche d'emploi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","Satisfait(e)","Assez utile","Oui","11","11","1","Homme","2017","118","49","0",NA,NA,NA,"Terminé",2018,"CBS","Chimie-Santé","En recherche d'emploi",NA
"17064","Homme",2017,"Sans activité volontairement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","Satisfait(e)","Peu utile","Oui","3",NA,"1","Homme","2017","118","49","0",NA,NA,NA,"Terminé",2021,"CBS","Chimie-Santé",NA,NA
"17009","Femme",2017,"En activité professionnelle","Occitanie","France (y compris DOM-COM)","3","CDD","Oui","À temps plein","PROTEUS","De 20 à 49 salarié(e)s","Industrie chimique","Recherche-développement, études scientifiques et techniques (autre qu'informatique)","Chef de projet junior","Oui","Non","Non","Oui","Non",NA,31800,"Non",NA,"Non",NA,"Stage de fin d'études (Année césure, année professionnalisante,...)","Stage de fin d'études (Année césure, année professionnalisante,...)","L'adéquation avec un projet professionnel","Oui","Oui","Satisfait(e)","Ni satisfait ni insatisfait","Insatisfait","Insatisfait","Satisfait","Très satisfait","Oui",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","0","Satisfait(e)","Très utile","Non","12","12","1","Femme","2017","118","69","100","France","0","100","Terminé",2018,"CBD2","Chimie-Matériaux-Environnement","En activité professionnelle",NA
"17009","Femme",2017,"En activité professionnelle","Occitanie","France (y compris DOM-COM)",NA,"CDI","Oui","À temps plein","Protéus by SEQENS","De 20 à 49 salarié(e)s","Recherche-développement scientifique","Recherche-développement, études scientifiques et techniques (autre qu'informatique)","Chef de projet","Non","Oui","Oui","Oui","Oui","Vous traitez des projets avec un pays étranger",35000,"Oui","1320","Non",NA,"Stage de fin d'études (Année césure, année professionnalisante,...)","Stage de fin d'études (Année césure, année professionnalisante,...)","L'adéquation avec un projet professionnel","Oui","Oui","Satisfait(e)","Satisfait","Très satisfait","Satisfait","Satisfait","Très satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","0","Satisfait(e)","Peu utile","Non","12","10","1","Femme","2017","118","69","100","France","100","100","Terminé",2019,"CBD2","Chimie-Matériaux-Environnement",NA,"En activité professionnelle"
"17009","Femme",2017,"En activité professionnelle","Occitanie","France (y compris DOM-COM)",NA,"CDI","Oui","À temps plein","Proteus by SEQENS","De 10 à 19 salarié(e)s","Recherche-développement scientifique","Recherche-développement, études scientifiques et techniques (autre qu'informatique)","Chef de de projet biocatalyse","Non","Non","Non","Oui","Oui","Vous traitez des projets avec un pays étranger",26800,"Non",NA,"Oui","3000","Stage de fin d'études (Année césure, année professionnalisante,...)","Stage de fin d'études (Année césure, année professionnalisante,...)","L'adéquation avec un projet professionnel;Le lieu géographique;Le contenu de la mission / du poste proposé;Le secteur d'activité de l'entreprise","Oui","Oui","Satisfait(e)","Satisfait","Très satisfait","Satisfait","Satisfait","Très satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","0","Satisfait(e)","Peu utile","Non","12","11","1","Femme","2017","118","69","100","France","100","100","Terminé",2021,"CBD2","Chimie-Matériaux-Environnement",NA,NA
"17009","Femme",2017,"En activité professionnelle","Occitanie","France (y compris DOM-COM)","53","CDI","Oui","À temps plein","Protéus by SEQENS","De 10 à 19 salarié(e)s","Industrie chimique","Recherche-développement, études scientifiques et techniques (autre qu'informatique)","Chef de projet biocatalyse","Oui","Non","Non","Oui","Non",NA,39200,"Oui","1000","Oui","2100","Stage de fin d'études (Année césure, année professionnalisante,...)","Stage de fin d'études (Année césure, année professionnalisante,...)","Le lieu géographique;Le contenu de la mission / du poste proposé;Le secteur d'activité de l'entreprise","Oui","Non","Satisfait(e)","Satisfait","Très satisfait","Ni satisfait ni insatisfait","Satisfait","Très satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","0","Satisfait(e)","Utile","Non","12","10","1","Femme","2017","118","69","100","France","100","100","Terminé",2022,"CBD2","Chimie-Matériaux-Environnement",NA,NA
"17040","Femme",2017,"En activité professionnelle","Occitanie","France (y compris DOM-COM)","10","CDI","Non","À temps plein","Primum Non Nocere","De 20 à 49 salarié(e)s","Sociétés de conseil, Bureaux d'études, Ingénierie","Développement durable, RSE (Responsabilité Sociétale des Entreprises)","Conseiller développement durable","Non","Oui","Oui","Oui","Non",NA,31000,"Oui","2500","Oui","3000","Stage de fin d'études (Année césure, année professionnalisante,...)","Réseau des anciens élèves;Stage de fin d'études (Année césure, année professionnalisante,...)","L'adéquation avec un projet professionnel","Oui","Non","Très satisfait(e)","Très satisfait","Très satisfait","Satisfait","Très satisfait","Insatisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","0","Satisfait(e)","Assez utile","Non","13","13","1","Femme","2017","118","69","100","France","100","100","Terminé",2018,"DGE","Chimie-Matériaux-Environnement","En activité professionnelle",NA
"17040","Femme",2017,"En activité professionnelle","Occitanie","France (y compris DOM-COM)",NA,"CDI","Non","À temps plein","PRIMUM NON NOCERE","De 20 à 49 salarié(e)s","Sociétés de conseil, Bureaux d'études, Ingénierie","Développement durable, RSE (Responsabilité Sociétale des Entreprises)","CONSULTANT","Non","Non","Non","Oui","Non",NA,31044,"Oui","2000","Oui","1000","Stage de fin d'études (Année césure, année professionnalisante,...)","Réseau des anciens élèves;Stage de fin d'études (Année césure, année professionnalisante,...)","Le contenu de la mission / du poste proposé","Oui","Non","Satisfait(e)","Très satisfait","Très satisfait","Satisfait","Très satisfait","Ni satisfait ni insatisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","0","Satisfait(e)","Assez utile","Non","13",NA,"1","Femme","2017","118","69","100","France","100","100","Terminé",2019,"DGE","Chimie-Matériaux-Environnement",NA,"En activité professionnelle"
"17040","Femme",2017,"En activité professionnelle","Occitanie","France (y compris DOM-COM)",NA,"CDI","Oui","À temps plein","Primum Non Nocere","De 20 à 49 salarié(e)s","Société de conseil ou d'ingénierie, Bureaux d'études indépendants","Études - Conseil et expertise","Conseiller développement durable","Non","Non","Non","Oui","Non",NA,33360,"Oui","2000","Oui","500","Stage de fin d'études (Année césure, année professionnalisante,...)","Réseau des anciens élèves","L'adéquation avec un projet professionnel;La politique globale de relations humaines dans l'entreprise;La politique de responsabilité sociétale de l'entreprise (RSE);Le contenu de la mission / du poste proposé","Oui","Non","Satisfait(e)","Satisfait","Satisfait","Ni satisfait ni insatisfait","Très satisfait","Satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","0","Satisfait(e)","Assez utile","Non","13","10","1","Femme","2017","118","69","100","France","100","100","Terminé",2020,"DGE","Chimie-Matériaux-Environnement",NA,NA
